Model,F1 Score,Precision,Recall
models/custom_ner_model30git,0.953250,0.950000,0.956522
models/custom_ner_model27-5git,0.820639,0.885942,0.764302
models/custom_ner_model28git,0.819753,0.890080,0.759725
models/custom_ner_model29-2git,0.819188,0.885638,0.762014
models/custom_ner_model27-4git,0.819071,0.879265,0.766590
models/custom_ner_model29-1git,0.819071,0.879265,0.766590
models/custom_ner_model27git,0.818955,0.873057,0.771167
models/custom_ner_model27-2git,0.818182,0.883289,0.762014
models/custom_ner_model27-1git,0.817625,0.878947,0.764302
models/custom_ner_model28-1git,0.815725,0.880637,0.759725
models/custom_ner_model29git,0.814268,0.880319,0.757437
models/custom_ner_model29+23git,0.812729,0.873684,0.759725
models/custom_ner_model29+23-2git,0.812270,0.875661,0.757437
models/custom_ner_model29+23.4git,0.811736,0.871391,0.759725
models/custom_ner_model25-1git,0.811275,0.873351,0.757437
models/custom_ner_model26-1git,0.810745,0.869110,0.759725
models/custom_ner_model29+23.4-1git,0.810745,0.869110,0.759725
models/custom_ner_model24git,0.809816,0.873016,0.755149
models/custom_ner_model29+23-3git,0.809756,0.866841,0.759725
models/custom_ner_model27-3git,0.809697,0.860825,0.764302
models/custom_ner_model26-3git,0.809639,0.854962,0.768879
models/custom_ner_model29+23-1git,0.809348,0.875000,0.752860
models/custom_ner_model23-1git,0.808824,0.870712,0.755149
models/custom_ner_model23-4git,0.808770,0.864583,0.759725
models/custom_ner_model26-2git,0.804374,0.857513,0.757437
models/custom_ner_model26git,0.798065,0.846154,0.755149
models/custom_ner_model23git,0.793727,0.839286,0.752860
