text,label
ארד חובב,0
מקהלת חסידי מודז'יץ,0
גדליה סלושי,0
תום בוריה,0
אורי רגב,0
אבירם כראל,0
אמרי איטח,0
צוף ישראילוב,0
אל-חי וייזל,0
מורן מטקובסקי,0
ראובן בקר,0
מוטי איידנסון,0
ארנון ויסמן,0
איתיאל אבישר,0
אבי שרון,0
אוהד בר לוי,0
אורי קריס,0
דוד זגה,0
שמריהו מסיקה,0
תמר רז,0
אריאל לוי,0
בנגי רפאל,0
שניר אחרק,0
אופק גיגי,0
יעל שפירא,0
מוריה כהן,0
שולם למר,0
דוד היל,0
רני שמש,0
אדיר גץ,0
ירחמיאל שמיר,0
איזי רוטקובסקי,0
יואב אלטשולר,0
מישל איטח,0
נוחי קרון,0
שבתי רוזי,0
יוחנן דרעי,0
אביר מילר,0
איתן ג'ורנו,0
גד אלבז,0
משה דוד זלצברג,0
יניב הרץ,0
אלרואי גרשטנקורן,0
זכי מוראד,0
איתי לוגסי,0
צבי זלבסקי,0
משה קליין,0
צוריאל גורן,0
אלי מרכוס,0
דובי ברסטון,0
יענקי היל,0
יקותיאל ברנד,0
ירין ויטנר,0
יחיאל חיימי,0
עינב וקסלבאום,0
מרק בנישו,0
אברהם זאב,0
דניאל גליק,0
שמחה לוונשטיין,0
אהרן אהרוני,0
אסף הרוש,0
מוטי רוזנפלד,0
איציק קלה,0
אלי סייפרס,0
אסא קוליק,0
ניתאי ישראלי,0
נפתלי מיכאלי,0
מקהלת זמר ושירה,0
גרשון אשד,0
אלעזר שטרן,0
רועי אמוראי,0
ישראל צוברי,0
סתיו המילטון,0
אשכול וקיים,0
ספיר אגרונוב,0
צורי רגב,0
טמיר שבת,0
צודיק גרינוולד,0
אראל מנדל,0
עוזי הרשקוביץ,0
יריב אברהמי,0
יונתן גולדמן,0
אשר אפרתי,0
עמי דוגמא,0
מיכאל מלכין,0
אפיק חגג,0
מרדכי גולובינסקי,0
מאיה אברהם,0
ליאור נרקיס,0
אופיר שריד,0
נטע ירוחם,0
עמוס שלזינגר,0
רז חדד,0
אהרון רזאל,0
מקהלת אור יהודה,0
עדיאל קדמי,0
אריה קרלינסקי,0
טום גלזנר,0
נתנאל גלזר,0
שלום זאב וורך,0
אריק איינעלם,0
אביעד גיל,0
בן ציון סלומון,0
שרגא הדס,0
אברהם יצחק רוזנצווייג,0
מיכה ריבין,0
אלון רצין,0
יותם אשל,0
שלום פרוינד,0
אביגיל אלון,0
אליהו לייפר,0
יאן שחר,0
צבי קזקוב,0
יהודה דים,0
קובי ללוש,0
זהבה בן,0
ישראל נחמן,0
דור דקה,0
שקד מילס,0
אשר ברדה,0
שמעון קרמר,0
שמחה יעקובי,0
דרורי דביר,0
מאיר טספאי,0
אודי גולדברג,0
דני סנדרסון,0
מנשה ליכטנשטיין,0
אבשלום ברסקי,0
הרצל נחמני,0
מאיר אריאל,0
אור פלד,0
רחמיאל דייקין,0
יחיאל מרסיאנו,0
מאיר מסוארי,0
עזרא טל,0
ניב סקאג,0
משה ברמן,0
דותן עמרם,0
בניהו פולק,0
יוחנן אוחיון,0
ליאון שאול,0
אמיל זריהן,0
אדיר כהן,0
מוישי פרסברגר,0
יוסי צוקר,0
הרצל בקר,0
לידור דנן,0
ליאור ביטון,0
אליסף מיכאל,0
דוד פולק,0
מקהלת 'שירה',0
שלומי שטויבר,0
גון שמוש,0
דוידי נחשון,0
בני ביילין,0
אביתר יעקב,0
ציון זערור,0
עקיבא וידר,0
דותן אלימלך,0
שלשלת ג'וניור,0
אליהו חג'אג',0
חיים ישעיה וייל,0
חיים פלאם,0
נפתלי קמפה,0
ישראל דגן,0
עשהאל דסטה,0
נגב עטרי,0
איתי דוד,0
יעל שלו,0
נריה גרבי,0
אלעזר ולדמן,0
אברהם מרדכי שוורץ,0
יוחאי עצמון,0
קרליבך זילברשטיין,0
אהרון ערגי,0
מרק לנדסמן,0
דיויד טויב,0
אושר לוזון,0
חיים ישראל,0
עלאי בצלאל,0
שלום ברגר,0
יניב מדר,0
הראל חדד,0
מקהלת ברודערס,0
מאור אדרי,0
ראובן גרבר,0
ניר טפליצקי,0
מוישי גרין,0
זיו אלל,0
ארי בקר,0
לירון קהתי,0
יוסי מימון,0
נאור דסקל,0
אביחי רוזנצויג,0
דודי פרישמן,0
שלומי ועקנין,0
אבנר רוזנברג,0
דוד גולן,0
מנור בוסלוביץ',0
חושן גרינר,0
ארנון טל,0
גבריאל קולנגי,0
שמחה פרידמן,0
אברהם וויליג,0
שאול אביקזר,0
דודי קנפלר,0
לב לנג,0
שרה יפתח,0
יאיר כלב,0
חגי בר,0
ששון בליאבסקי,0
שביט אסולין,0
עיליי גרינבוים,0
לייב בלאצ'ו,0
רוני רומי,0
יוסף חיים בן סעדון,0
גלית שרון,0
איליי קמפבל,0
שמואל ברזיל,0
יובל נוה,0
שי גיאת,0
יהודה לוי,0
עילי אברמסקי,0
יצחק בן ארזה,0
אושר בוחניק,0
יצחק פנחסי,0
אליאל ברגר,0
ישורון וילדרמן,0
שרון אביחלק,0
ויקטור פסקרו,0
יוסף יצחק ברלב,0
יעקב רוזנפלד,0
מור ביטון,0
גיא ינאי,0
יהודית רביץ,0
שליו קסטיאל,0
יעקב קליין,0
שגיא אדרי,0
פנחס מרום,0
מיקי קם,0
אלימלך שבת,0
אדוארד הדר,0
צור בנית,0
מיכאל נדטה,0
איציק בלעדי,0
מאור נוף,0
יוסף (ג'ואי) ניוקם,0
עירא כחלון,0
חנן בר סלע,0
צחי-יצחק רוברט,0
דוד שליסלברג,0
ישראל טוויל,0
אלון הלל,0
נתנאל שצקי,0
נועם פרס,0
יוסף אסייג,0
יוגב אברהמי,0
איתמר ברק,0
דניאל טורדזמן,0
בן ציון ויטלר,0
ארבל ממן,0
עדן איליאייב,0
יובל מישקובסקי,0
מוטי דבח,0
נחמן שטיינמן,0
חיה רם,0
שגיא שפירו,0
אייל עמרם,0
דרור אריאל,0
משה אברמוב,0
ינאי גלעדי,0
אביגדור מושייב,0
מקהלת חיפה,0
המזמרים,0
נחום קוסטר,0
צחי שרעבי,0
אבישי אשל,0
אביאל גראוכר,0
דניאל איזנר,0
אילון פיפרמן,0
עודד סיני,0
דיויד הירשהורן,0
גוני בקר,0
שניאור פונטה,0
נמרוד פרידמן,0
שלומי גיגי,0
שימי יונייב,0
יהושע זיו,0
משולם וורקו,0
כרמל בבג'נוב,0
יונתן ווייס,0
ירין שפושניקוב,0
גרשון משה,0
אבי פודולינסקי,0
איתי איתמר,0
