Column A,Column B,Start Position,End Position
''הרב בן ציון קלצקו בסינגל חדש ''יגדל,בן ציון,6,13
  אני חוזר לאמא,חוזר לאמא,6,15
מייל מיוזיק,דדא ביה,-1,6
 גרינבוים מארח את קובי ברומר קול דודי ליי,דודי ליי,33,41
01 בר יוחאי (2),בר יוחאי,3,11
02 על גבעות שיך אבריק,שיך אבריק,12,21
"03 05 מודז'יץ   וואלס פורימדיג'ס להרהח ר' קויפמאן אידלסון יידל זל, מושר עי רבצ שנקר אדר א' תשעו",שנקר אדר,79,87
05 גאולת ישראל מוטי פוקס,ישראל מוטי,9,19
05. סערה,. סערה,2,8
08 מה יתרון אבי נקש,מה יתרון,3,11
09   תפוחים ותמרים (2),תפוחים ותמרים,5,18
15 שמעי ענגעל בסינגל חבל לע נ האברך משה יהודה וויינער ע ה,משה יהודה,36,45
18 מעל פסגת הר הצופים,מעל פסגת,3,11
7 06 אלה ברכב ואלה בסוסים   מונה + מ,אלה ברכב,5,13
Heres to the time עזרה סופר ודיג_י יוסי ניומן,time עזרה,13,22
Trumpets יוסי ניומן ונחת,ניומן ונחת,14,24
א נסיעה אווירת 'הימים הנוראים' בחסידות גור,נסיעה אווירת,2,14
א שטיקעלע תוספות,שטיקעלע תוספות,2,16
אבי בן ישראל,בן ישראל,4,12
אבי פודלינסקי ראו בנים,ראו בנים,14,22
אביסל בערי וובער ובלו מלודי,אביסל בערי,0,10
אביעד ובניה  יש עניין,יש עניין,13,21
אברהם אבינו,אברהם אבינו,0,11
אברימי רוט   מעל פסגת הר הצופים,מעל פסגת,13,21
אהבת חינם,אהבת חינם,0,9
אוזר ישראל,אוזר ישראל,0,10
אור בחושך,אור בחושך,0,9
אחינו כל בית ישראל,בית ישראל,9,18
אין זוועהיל ברענט א פייער,זוועהיל ברענט,4,17
אין קצבה  יצחק מאיר מלכות,יצחק מאיר מלכות,10,25
אל תעזבי ידיים  אידיש,אל תעזבי,0,8
אל תתיאש,אל תתיאש,0,8
אלי אלי,אלי אלי,0,7
אלי בן הרוש   חתונה בקצב,אלי בן,0,6
אלייצור לא חוזר לרחובות.hd,חוזר לרחובות.hd,11,26
"ארץ צבי, מבצע יונתן","צבי,",4,8
אשרי מי,אשרי מי,0,7
אשריכם ישראל,אשריכם ישראל,0,12
בני חורין,בני חורין,0,9
