Column A,Column B,Start Position,End Position
מוטי עויזר - שוש אשיש,מוטי עויזר,0,10
מושי ולס,מושי ולס,0,8
מלך מלכי המלכים קינדרלך,קינדרלך,16,23
משה דמן & יצחק זאב דמן - כי אנו עמך,משה דמן,0,7
משה פרץ - שתי טיפות אמא,משה פרץ ,0,8
נהוראי תורג'מן - מאמא דיאלי,נהוראי תורג'מן,0,14
נועם בנאי - אל מסתתר,נועם בנאי,0,9
נועם מיכאל - נסיעה ארוכה,נועם מיכאל,0,10
נחמן בוימל גדול השלום,נחמן בוימל,0,10
ניגון באבוב אם להקת פריילך,להקת פריילך,15,26
ניגוני יהודה (יניר קילינסקי) triste esta el rey david,יניר קילינסקי,14,27
ניסים בירדוגו משה לוי & חנניה ביגון - Chosen,ניסים בירדוגו,0,13
נמואל - ואתה אמרת,נמואל,0,5
נפתלי אברמסון,נפתלי,0,5
נתנאל & יהונתן מנת והיא שעמדה,יהונתן מנת,8,18
סט 2019  דיגי יאיר מצרפי (320  kbps) (vipman.xyz),דיגי יאיר מצרפי,9,24
מוטי גרינוואלד & מקהלת נגינה - מחרוזת ריקודים,מוטי גרינוואלד,0,14
אברהם יצחק  ילד,אברהם יצחק,0,10
אברהם פריד  בוקר טוב רבונו של עולם,אברהם פריד,0,10
אברהם פריד חיים ישראל בנצי שטיין  אל תיפול,חיים ישראל,11,21
אברומי סמט  אלקי נשמה,אברומי סמט,0,10
אהרון סיטבון  שיר חדש,אהרון סיטבון,0,12
אהרלה סמט בנצי קלצקין מלכות  רצה הקבה,אהרלה סמט,0,9
אהרלה סמט שלוימי גרטנר  מודה אני,אהרלה סמט,0,9
אופיר סלומון משה דוויק  ארוממך,אופיר סלומון,0,12
איצי וולדנר  אימתי,איצי וולדנר,0,11
אלי הרצליך  טועמיה,אלי הרצליך,0,10
אלימלך ברוינשטיין מקהלת שירה  רצוננו,אלימלך ברוינשטיין,0,17
ארי גולד  ימים טובים,ארי גולד,0,8
ארי היל  איכא בשוקא,ארי היל,0,7
ארי פרייזר  לכו נרננה,ארי פרייזר,0,10
אריאל זילבר  מזמור לתודה,אריאל זילבר,0,11
בנצי קלצקין מקהלת מלכות. חסידימלעך  מיינע תפילין,בנצי קלצקין,0,11
בנצי שטיין ישיבת ברקאי  אל תיפול,בנצי שטיין,0,10
בערי וועבער זאנוויל ויינברגר בנצי קלצקין מקהלת מלכות  ציון וירושלים,וועבער זאנוויל ויינברגר,5,28
דוד ברגר מקהלת שירה  ברוך הוא אלוקינו,דוד ברגר,0,8
דוד ברגר מקהלת שירה  זכרתי,דוד ברגר,0,8
דוד ברגר מקהלת שירה  ניגון אהבה רבה,דוד ברגר,0,8
דייויד טויב גיל ישראלוב  רק תודה,דייויד טויב,0,11
הראל טל  נפוגותי,הראל טל,0,7
הרב מנחם מנדל עמאר  ניגון התוועדות לר׳ שלום חריטונוב,מנחם מנדל עמאר,4,18
זאנוויל ויינברגר מקהלת שירה  בקולות וברקים,זאנוויל ויינברגר,0,16
זאנוויל ויינברגר מקהלת שירה מונה רוזנבלום  בקולות וברקים,מקהלת שירה,17,27
יאיר אנדה ותלמידי הישיבה לצעירים  ידידי רועי,יאיר אנדה,0,9
יחיאל גיניגר _ צבי ויוסף גיניגר  רחם,יחיאל גיניגר,0,12
יחיאל שראן  ברכת החודש,יחיאל שראן,0,10
יענקי אויש מנדי ברנדויין מקהלת נשמה מקהלת זינגערליך  פינקי’ס ניגונים,יענקי אויש,0,10
יעקב זינגר  כל הנשמה,יעקב זינגר,0,10
יעקב יוסף שטארק מקהלת לב  והאר עינינו,יעקב יוסף שטארק,0,15
יצחק מאיר אברהם בלטי  ניגון התבוננות,יצחק מאיר,0,9
יצחק מאיר הרב הלל פלאי  למחר,הלל פלאי,14,22
לייבי מושקוביץ הרשי רוטנברג מקהלת זמרו  אני מאמין,הרשי רוטנברג,15,27
מוטי אילוביץ_    אנדערש,מוטי אילוביץ,0,12
מוטי גולדמן מקהלת מלכות  אחת שאלתי,מוטי גולדמן,0,11
מוטי ויזל אהרלה סמט מנדי וייס מקלהת מלכות  אבות על בנים,אהרלה סמט,10,19
מוטי ויזל עוזיאל דייטש  והאר עינינו (פיטסבורג),מוטי ויזל,0,9
מוטי שטיינמץ  קלי אתה,מוטי שטיינמץ,0,12
מנדי וייס מקהלת מלכות  ברודער_ס,מנדי וייס,0,9
מנדי וייס שלומי מאיר  כבוד לתורה,שלומי מאיר,10,20
מקהלת ידידים מקהלת שיר ושבח  אשירה להשם,מקהלת ידידים,0,12
מקהלת שבח מקהלת נפשות ישראל  אפתח בכינור (סאסוב),מקהלת שבח,0,9
מקהלת שירה  לחיים,מקהלת שירה,0,10
מרדכי גוטליב  אל אדון,מרדכי גוטליב,0,12
משה דוד וייסמנדל מקהלת נשמה יענקי לנדאו  הכנה לקבלת התורה,דוד וייסמנדל,4,16
משה דוויק  כי אשמרה שבת,משה דוויק,0,9
נפתלי קמפה  גרש את העצבות (לייב),נפתלי קמפה,0,10
נפתלי קמפה בני הישיבות  מקום בגן עדן,נפתלי קמפה,0,10
עזרא גטנו  וקבצינו יחד,עזרא גטנו,0,9
עזרא גטנו  כי מלאכיו,עזרא גטנו,0,9
ר_ שלמה טויסיג  שטייגען,שלמה טויסיג,3,14
שלום למר מקהלת שירה  אמר רבי יוחנן,שלום למר,0,8
שלומי גרטנר  אשרי העם (לייב),שלומי גרטנר,0,11
שלומי גרטנר  מחרוזת זיץ (לייב),שלומי גרטנר,0,11
שמוליק ינקוביץ ארי וולפא  ניגון יב יג תמוז,ארי וולפא,15,24
שמוליק סוכות  קומזיץ,שמוליק סוכות,0,12
שמחה ליינר ברוך צ_ייט  מחרוזת צ_ייט,שמחה ליינר,0,10
