Column A,Column B,Start Position,End Position
יהושע האנשטטר משחררת סנונית ראשונה מהאלבום שבדרך,יהושע האנשטטר,0,1
יהושע האנשטטר - שוש אשיש,יהושע האנשטטר,0,1
'שיר הלל' ו'פרחי הרא''ם' ב''אנא בכח'' של עובדיה חממה,עובדיה חממה,11,12
עובדיה חממה מארח אבי בניון - בשבילך נברא עולם,עובדיה חממה,0,1
נמואל הרוש & יאיר שובל בדואט מרענן ''אבא אוהב'',נמואל הרוש,0,1
"נמואל הרוש, בני פרידמן ואלי מרכוס שרים – 'אני מאמין'",נמואל הרוש,0,1
גלעד פוטולסקי מארח את מיכאל שטרייכר בסינגל חדש ''ויזכו לראות בנים'',גלעד פוטולסקי,0,1
גלעד פוטולסקי בדואט עם בנו חגי תפילת כלה וחתן,גלעד פוטולסקי,0,1
גלעד פוטולסקי מארח את מיכאל שטרייכר בסינגל חדש ''ויזכו לראות בנים'',מיכאל שטרייכר,4,5
מיכאל שטרייכר מבצע את אחד מלהיטיו הגדולים במהלך קומזיץ  –,מיכאל שטרייכר,0,1
אבישי אשל אחינו מתחתן,אבישי אשל,0,1
ימים יותר טובים אבישי אשל ונהוראי בן שימול,אבישי אשל,3,4
ארז יחיאל - זה הזמן לסלוח - גרסת רדיו,ארז יחיאל,0,1
ארז יחיאל  זה הזמן לסלוח  גרסת רדיו,ארז יחיאל,0,1
07 אבי מילר - אבא תעזור רוצים לחזור,אבי מילר,1,2
לא רק מבצע גם יוצר – אבי מילר בלהיט אלולי מקפיץ רוצים לחזור,אבי מילר,6,7
הביצוע המחודש של גבי אהרון 'לנגן ולנגן',גבי אהרון,3,4
גבי אהרון בסינגל בכורה  – תפילה אחת,גבי אהרון,0,1
יהודה קובלסקי בסינגל חדש – אזמרה,יהודה קובלסקי,0,1
זלמן פולק בשיר מרגש לזכר נשמת אמו ''רפאינו'',זלמן פולק,0,1
זלמן פולק - הבדלה,זלמן פולק,0,1
יבנה המקדש (הרב שלמה קרליבך),שלמה קרליבך,4,5
59 - שלמה קרליבך - אשת חיל - [Windos,שלמה קרליבך,2,3
