ארד חובב
מקהלת חסידי מודז'יץ
גדליה סלושי
תום בוריה
אורי רגב
אבירם כראל
אמרי איטח
צוף ישראילוב
אל-חי וייזל
מורן מטקובסקי
ראובן בקר
מוטי איידנסון
ארנון ויסמן
איתיאל אבישר
אבי שרון
אוהד בר לוי
אורי קריס
דוד זגה
שמריהו מסיקה
תמר רז
אריאל לוי
בנגי רפאל
שניר אחרק
אופק גיגי
יעל שפירא
מוריה כהן
שולם למר
דוד היל
רני שמש
אדיר גץ
ירחמיאל שמיר
איזי רוטקובסקי
יואב אלטשולר
מישל איטח
נוחי קרון
שבתי רוזי
יוחנן דרעי
אביר מילר
איתן ג'ורנו
גד אלבז
משה דוד זלצברג
יניב הרץ
אלרואי גרשטנקורן
זכי מוראד
איתי לוגסי
צבי זלבסקי
משה קליין
צוריאל גורן
אלי מרכוס
דובי ברסטון
יענקי היל
יקותיאל ברנד
ירין ויטנר
יחיאל חיימי
עינב וקסלבאום
מרק בנישו
אברהם זאב
דניאל גליק
שמחה לוונשטיין
אהרן אהרוני
אסף הרוש
מוטי רוזנפלד
איציק קלה
אלי סייפרס
אסא קוליק
ניתאי ישראלי
נפתלי מיכאלי
מקהלת זמר ושירה
גרשון אשד
אלעזר שטרן
רועי אמוראי
ישראל צוברי
סתיו המילטון
אשכול וקיים
ספיר אגרונוב
צורי רגב
טמיר שבת
צודיק גרינוולד
אראל מנדל
עוזי הרשקוביץ
יריב אברהמי
יונתן גולדמן
אשר אפרתי
עמי דוגמא
מיכאל מלכין
אפיק חגג
מרדכי גולובינסקי
מאיה אברהם
ליאור נרקיס
אופיר שריד
נטע ירוחם
עמוס שלזינגר
רז חדד
אהרון רזאל
מקהלת אור יהודה
עדיאל קדמי
אריה קרלינסקי
טום גלזנר
נתנאל גלזר
שלום זאב וורך
אריק איינעלם
אביעד גיל
בן ציון סלומון
שרגא הדס
אברהם יצחק רוזנצווייג
מיכה ריבין
אלון רצין
יותם אשל
שלום פרוינד
אביגיל אלון
אליהו לייפר
יאן שחר
צבי קזקוב
יהודה דים
קובי ללוש
זהבה בן
ישראל נחמן
דור דקה
שקד מילס
אשר ברדה
שמעון קרמר
שמחה יעקובי
דרורי דביר
מאיר טספאי
אודי גולדברג
דני סנדרסון
מנשה ליכטנשטיין
אבשלום ברסקי
הרצל נחמני
מאיר אריאל
אור פלד
רחמיאל דייקין
יחיאל מרסיאנו
מאיר מסוארי
עזרא טל
ניב סקאג
משה ברמן
דותן עמרם
בניהו פולק
יוחנן אוחיון
ליאון שאול
אמיל זריהן
אדיר כהן
מוישי פרסברגר
יוסי צוקר
הרצל בקר
לידור דנן
ליאור ביטון
אליסף מיכאל
דוד פולק
מקהלת 'שירה'
שלומי שטויבר
גון שמוש
דוידי נחשון
בני ביילין
אביתר יעקב
ציון זערור
עקיבא וידר
דותן אלימלך
שלשלת ג'וניור
אליהו חג'אג'
חיים ישעיה וייל
חיים פלאם
נפתלי קמפה
ישראל דגן
עשהאל דסטה
נגב עטרי
איתי דוד
יעל שלו
נריה גרבי
אלעזר ולדמן
אברהם מרדכי שוורץ
יוחאי עצמון
קרליבך זילברשטיין
אהרון ערגי
מרק לנדסמן
דיויד טויב
אושר לוזון
חיים ישראל
עלאי בצלאל
שלום ברגר
יניב מדר
הראל חדד
מקהלת ברודערס
מאור אדרי
ראובן גרבר
ניר טפליצקי
מוישי גרין
זיו אלל
ארי בקר
לירון קהתי
יוסי מימון
נאור דסקל
אביחי רוזנצויג
דודי פרישמן
שלומי ועקנין
אבנר רוזנברג
דוד גולן
מנור בוסלוביץ'
חושן גרינר
ארנון טל
גבריאל קולנגי
שמחה פרידמן
אברהם וויליג
שאול אביקזר
דודי קנפלר
לב לנג
שרה יפתח
יאיר כלב
חגי בר
ששון בליאבסקי
שביט אסולין
עיליי גרינבוים
לייב בלאצ'ו
רוני רומי
יוסף חיים בן סעדון
גלית שרון
איליי קמפבל
שמואל ברזיל
יובל נוה
שי גיאת
יהודה לוי
עילי אברמסקי
יצחק בן ארזה
אושר בוחניק
יצחק פנחסי
אליאל ברגר
ישורון וילדרמן
שרון אביחלק
ויקטור פסקרו
יוסף יצחק ברלב
יעקב רוזנפלד
מור ביטון
גיא ינאי
יהודית רביץ
שליו קסטיאל
יעקב קליין
שגיא אדרי
פנחס מרום
מיקי קם
אלימלך שבת
אדוארד הדר
צור בנית
מיכאל נדטה
איציק בלעדי
מאור נוף
יוסף (ג'ואי) ניוקם
עירא כחלון
חנן בר סלע
צחי-יצחק רוברט
דוד שליסלברג
ישראל טוויל
אלון הלל
נתנאל שצקי
נועם פרס
יוסף אסייג
יוגב אברהמי
איתמר ברק
דניאל טורדזמן
בן ציון ויטלר
ארבל ממן
עדן איליאייב
יובל מישקובסקי
מוטי דבח
נחמן שטיינמן
חיה רם
שגיא שפירו
אייל עמרם
דרור אריאל
משה אברמוב
ינאי גלעדי
אביגדור מושייב
מקהלת חיפה
המזמרים
נחום קוסטר
צחי שרעבי
אבישי אשל
אביאל גראוכר
דניאל איזנר
אילון פיפרמן
עודד סיני
דיויד הירשהורן
גוני בקר
שניאור פונטה
נמרוד פרידמן
שלומי גיגי
שימי יונייב
יהושע זיו
משולם וורקו
כרמל בבג'נוב
יונתן ווייס
ירין שפושניקוב
גרשון משה
אבי פודולינסקי
איתי איתמר
קלמן סדי
ארנון רובינסקי
שרוליק רוזנטל
ניסים גליקמן
בנימין לבן
דין דין אביב
דוד׳ל ווינברג
נחת בודינגר
דגן חננייב
לאון סובר
אדי בוסקילה
רפי גינת
איילון לואיס
אלימלך קליגר
הדר הופשטיין
ארתור לביא
יהודה בר-און
צבי הרשלר
צביקה ברק
מרים לוי
יהודה זילברברג
קורן עמר
אבי עברי
משה טבקולי
אלי מנדלבאום
חיים מרמורשטיין
מקס בדלוב
דוד בן ארזה
אחיקם אלישייב
עילאי ברנט
עופר קרסנר
יוסף מור
שי-לי צרקסקי
נועם אלעזר
אהרל'ה ויינטרוב
גיורא חקק
מנחם מאיר
אביעד סביליה
שגיב זינגר
שגיא פרנק
דולב ריחני
ויקטור חזן
שימי וייס
אילור סטפנסקי
דרור דובניקוב
קובי ברנשטיין
גדליה בנישתי
פורת נוב
אורי דמארי
בועז אדולף
ליאם אנטר
ציון גולן
יום דבב
אילן קראדי
לוטם גרוזמן
אבי שלזינגר
גילי שורץ
דניאל לוי
צ'רלי עזרא
עדי רן
אביהו עמוס
אלי יוסף
אליה בר
משה יעקב
שרוליק פטמן
אבי גולדשמיט
הילל הרוש
מוטי איילוביץ
אליהו ויינשטוק
ינאי גמליאל
ישראל גברא
אלרואי כלפון
אביחי וסרמן
רונאל סבאג
אליאור שטרן
ישעיהו ברמן
נחמן צוקר
בניהו מיכאלי
רובי בוחניק
עמוס רייס
טוביה אהרון
צבי גרינהיים
אייל רובינשטיין
אביה דויטש
לירוי כרמל
ברי ורקר
מנדי גרופי
דב שפיר
שמחה כץ
שליו קרואני
יואל וייס
עמרם סבהט
לייזר ברוק
נמרוד אשכנזי
דן פלדמן
שמואל שפירו
עמרם אדר
אבישי קצב
תום פיינרמן
יונה פרץ
סמי לומברד
שלומי סלמן
יאן יהודה
הורה קדצקה
אהרון פרוכטמן
יהודה בן-נון
קאי אלבז
יוסי גליק
עברי קראהן
ששון בן-משה
בני גל
אדיב בנימיני
יובל מירום
פסח איידנסון
הלל ברמן
ליאו סלע
אילון הייטנר
דר שפר
יובל ארד
עמית דנינו
אליעזר חרלפ
ברוך קלמן
יוסף צבי
רמי קפילוטו
להקת דביקות
ארז לב
הרצל אברהם
עידו כהן
שילה כהן
אבינועם וורקו
אמיר מגריבי
יוסי מעוז
עומר טרפה
איתיאל שמעוני
רום יוסף
חיים אדלר
חנוך שער
שבתאי טלקר
כפיר רינגל
עוז פורת
ניסים אריק
אלכסנדר מצא
לביא קולט
להב דבח
יונה בגה
אריה שפילמן
בניה מלמד
אריק סיני
חיים משה
מתן סידגייב
ישראל גרינברג
עידו סמאלין
איתן כ''ץ
פרוספר אקילוב
אסנת פז
חיים חדד
שושנה רוט
יהודית אביבי
יונה זליג
אדר ארטל
סיני נאור
מנואל שירוני
גד ליאור
דודי לינקר
עדן בדלוב
מנדי וייס
גדליה בינדיגר
יוני זינגלבוים
אבי סלמה
לידור קליר
גדעון רייך
סמי שוע
אהרלה סאמעט
גל יבלונסקי
אורין סעדה
ידידיה שושן
דוד ליבנה
מקהלת קהלת
אוריה גורן
חביב דיין
נוה אורם
עמרם צורי
יעקב חיים אינדורסקי
אבישי דורון
ירחמיאל בלנקי
מעוז קורן
אביאל ברמי
אושרי שחר
טוביה אזולאי
האסק
דב פרקש
אליהו צור
מוישי גלויבער
נועם ויצמן
אמנון ברוס
יומי רוזנבאום
פישי הגדול
יומי לואי
לביא ארן
חיים דוב וולף
כפיר ליפשיץ
ישעיה מייזלס
יניר סופר
אריאל בורסוצקי
אלישע קמינסקי
דוד פריד
אברהם שמיאן
צוריאל סולטן
חיים קניג
מלכיאל אוחנה
לירוי עזרא
גיל עקביוב
דדי גראוכר
אורי בן-ארצי
ירין אלקראט
מסעוד נצר
השי רובי
עמנואל טוביאנה
אדם ברגר
דן גזולי
צבי סילברשטיין
אופרי מיאלי
שלומי טויסיג
מורן עבו
מיכאל דויטש
עמיחי גרנות
שרוליק הרשטיק
נחשון רון
רוי פאר
עמיחי פלסר
שניאור אוראל
נטע עודי
מורן קוצינסקי
גרשון לוין
אלדד רוזנר
דודי קנאפלער
עדי ברקאי
דגן מרגליות
ים איזנברג
אלתר קריטי
פרחי השומרון
מקהלת 'כיסופין'
אביגדור בן-יעקב
שימעון מרציאנו
מוטי גולדמן
אביגדור לוגסי
ינאי ווקנין
דן איסחקוב
אליאב קריחלי
מאיר סווירי
נדב מירנדה
אושרי גשייד
קלמן שוגרמן
אביחי חדד
דיויד חיון
אילון רובין
מנדי ג'י
מרים טל
גולן איתני
שגיא שלום
ישראל ורדיגר
אליה ביתן
חנן מגני
ויקטור דלנוקי
נחשון רבין
טוהר ברושי
ניקיטה בוטראשוילי
בארי רצון
לני גרגי
ארי היל
דניאל קרייטנברגר
גילעד בלוך
מתן ונטורה
מייקי מוקטון
דודי קפלר
כרמל אורטס
עמית רטיג
ארבל פרקר
גד עסיס
יוחנן יחזקאל
ישראל אדלסון
אמיר אליהו
אביטל שורץ
נחום פרץ
ברוך פרידמן
זיו יחזקאל
עמרם בורנשטיין
האחים סלומון
מעיין כץ
עופר מדמון
יונס אביב
הלל גרוס
דוד פנחס ראטה
נחמי גלויבער
אוהד כהן
אושרי אילון
יצחק בן-אהרון
עיליי קינדלר
נתי ברזילי
יוגב רנר
דור שרייר
ענר סדן
זלמן פולק
אביחי ליפשיץ
יוני זילברג
נדב פיינשטיין
ינון טויטו
אלי ביגון
שלמה יעקב וועבר
יובל בלסן
יואב ברסלויער
זכריה ישר
חי חשין
מני אפשטיין
רמי דנוך
האחים פוטולסקי
ליאל אלחנני
שמעיה סילברמן
מקהלת 'יחד'
עומרי זליג
ברק אקער
עדיאל שיטרית
תומאס חבקין
יהודה ביטון
אהרן ברק
עמיאל בנגייב
דורון שמעוני
שי-לי מוסקוביץ
מוריס קרביץ
טום ויצמן
שיר מנשרי
איתן יולזרי
שובל אהרון
אלתר נתיב
רות נצר
צמד ילד
איצי אקרמן
סהר לזרוס
נפתלי קיסר
בניהו מדינה
מוטי זינגלבוים
אסא שוורץ
תומר סנדלר
יובל ליבוביץ
שמואל ויס
גדי פייגולד
נחשון רחמים
דוד סקייסט
זינובי שולמן
שירן גומן
מוטי אילאוויטש
פרחי ישורון
אליעד בלוך
הראל הלמן
אלמוג מלמד
נאור אמיתי
איליי וייצמן
עידו מרגולין
ירמיהו חדש
ניק נדב
שניאור דוקן
דודי קליין
אריק שיבר
בניה רוזוב
נוהר צדר
אביגדור מלכי
אלירן מורן
אבי דדוש
בנציון ברכר
תבל נגר
אלישי בוסקילה
אוראל שדה
רונן דומטוב
מקהלת שובו בנים
שמעי ענגעל
ששון לבקוביץ
אלכס מורנו
רונן ליטווק
מישל כהן
אברהם סאמעט
יהודה ביר
אברהם שמואל ווידער
אביגדור גביש
יהונתן מנת
נהוראי קון
ידידיה דרגולי
רביב לקס
מלאכי טלקר
שימשי ניימן
ליעם מילר
נטע מרדכי
דוד קוסביצקי
משה דוד ווייסמאנדל
צבי וייס
ידידיה וקסלר
יהלי סלמי
סלמן דגו
סעדיה טאיב
זליג רויף
חנה רותם
אליעד אליהו
עמוס צורף
ליאו טבח
ענת רונן
אבי סגל
יותם לברון
גיא מנדל
שלום בראדט
שיע קלר
סטיבן קדוש
מידד טסה
לב קוסוי
מייקל נקש
אמיתי טספה
לירון בורשטיין
לייבלה השל
אהרן הלוי
נהוראי תורג'מן
יוסי פריד
נבו לוי
נעם הראל
יוסי גרוס
עינב סופר
ישי גרוסו
שלמה סלצקי
מיכאל קורן
זמרי ברודי
אבישי ארוש
רם אמסלם
רפאל נחמיאס
חיים דוד
לירון קרני
אהרון הנדל
עמיחי כרם
עודד מנשרי
משה קפון
אבישי רוזן
פנחס דויטש
ישי שין
יגאל צליק
אליה עפרוני
ציון גובני
שחר קפלן
דובי מייזלס
נותי פוקס
אריה דרעי
רותם נתיב
אילעי אלוני
פנחס לין
בערי וועבער
זליג שביט
אברומי פלאם
טוהר קבקוב
מאיר ריבקין
דני זכריה
לייבלה ולדמן
אהרן דנין
אהרן מאיר
ליאור דוד
נועם שמואלי
אלימלך שבצוב
נמואל הרוש
חיים ברוין
הוד יוסף
אלעזר קדם
מתתיהו שלו
אבירן אבני
אלעד גבאי
איתן טרוזמן
אבי ברק
אשר פלדמן
ירון נעמן
לוי כהן
יוסף זאב בראווער
ניסים גרומן
אלישיב ברעוודה
אוהד הרוש
סתיו אורן
אור-חיים העברי
יהודה מור
גבי שבו
מאיה שמש
נאור שומר
בן-ציון פישר
לירז ארליך
איציק שקולניק
אריק גלוסקא
דני רוזנבלום
שימי תבורי
אבשלום נומה
מיכאל דורי
יניב גרינברג
יוגב ירום
אילון עטרי
אלנתן מלול
אלי לוין
אליהו רפאל כאין
דוד פדר
אבריימי רוט
גבע גרין
אלימלך פנחסי
מישל אלימי
אלעזר גבאי
חנן ברפמן
ברוך נפתלי
יובל פרנקל
לירוי מזוז
גדעון אונה
גילי זאודה
יעקב אליהו
צדוק מנדל
עוזי יוסופוב
אלה לי להב
רני יזרלביץ
נועם מיכאל
שמואל דוד לנדא
יואלי דוידוביץ
יהודה גרובייס
יונתן לידור
מתנאל הורדה
עילם גלאון
מקהלת נרננה
נתנאל גנץ
יפתח גולד
שמואל מדאלסי
סאן האוקיפ
אריה קונסטלר
ניצן מילר
נאור סנדרוביץ
אלדד דזיאלובסקי
עמנואל ג'אנו
נוה קרומביין
אדוארד מינס
שלמה ארצי
האחים הורביץ
האחים בכר
אלברט מיכאל
ליאב אזולאי
אהרון חסדאי
כדורי הרוני
אלחי אזרד
גיורא קירילוב
סיימון מיץ
אברהם לייב בורשטיין
מעוז גולדשטיין
עדי עובדיה
ניר עוזר
אלקנה נדב
אברומי רוזנבאום
מקהלת כתר
נחמן פוקס
אורון חימוביץ
סתיו בלן
פנחס ברייער
שאול מרטין
שמשון סגל
שגב יעקב
דותן דובדבני
עמיעד רחמים
מנשה אלון
ניב נאווי
אורין טבול
גולן שכנר
עמיהוד ויניצקי
איז'ו ליבוביץ'
ארי סאמט
אופיר כהן
דין שלו
מרים גיל
אוריאל צימרינג
בן סמה
חושן בוסקילה
פיני איינהורן
איתמר בורשטין
מרדכי ספוקויני
דוראל ארונסון
אורון פז
נעמה אופק
רחל מרים
שירה גבאי
