Column A,Column B,Start Position,End Position
יהושע האנשטטר משחררת סנונית ראשונה מהאלבום שבדרך,יהושע האנשטטר,0,1
'שיר הלל' ו'פרחי הרא''ם' ב''אנא בכח'' של עובדיה חממה,עובדיה חממה,11,12
נמואל הרוש & יאיר שובל בדואט מרענן ''אבא אוהב'',נמואל הרוש,0,1
גלעד פוטולסקי מארח את מיכאל שטרייכר בסינגל חדש ''ויזכו לראות בנים'',גלעד פוטולסקי,0,1
גלעד פוטולסקי מארח את מיכאל שטרייכר בסינגל חדש ''ויזכו לראות בנים'',מיכאל שטרייכר,4,5
אבישי אשל אחינו מתחתן,אבישי אשל,0,1
ארז יחיאל - זה הזמן לסלוח - גרסת רדיו,ארז יחיאל,0,1
07 אבי מילר - אבא תעזור רוצים לחזור,אבי מילר,1,2
הביצוע המחודש של גבי אהרון 'לנגן ולנגן',גבי אהרון,3,4
יהודה קובלסקי בסינגל חדש – אזמרה,יהודה קובלסקי,0,1
זלמן פולק בשיר מרגש לזכר נשמת אמו ''רפאינו'',זלמן פולק,0,1
יבנה המקדש (הרב שלמה קרליבך),שלמה קרליבך,4,5
מקהלת נרננה ומנדי ג'רופי בסינגל ווקאלי לימי העומר,מקהלת נרננה,0,1
אבי דרור מארח את אלי הרצליך ונמואל לפורימיקס,אלי הרצליך,4,5
צמד ה Djs מארח את נתנאל ישראל והריקותי,נתנאל ישראל,5,6
איציק אורלב עם ישראל חי,איציק אורלב,0,1
אמני ישראל שרים שוב והפעם - אני מאמין,אמני ישראל,0,1
שמחה ליינר - קלאסיקות אברהם פריד,שמחה ליינר,0,1
שמחה ליינר - קלאסיקות אברהם פריד,אברהם פריד,4,5
קובי ברומר בסינגל חדש 'עוסק בתורה' לקראת חג השבועות,קובי ברומר,0,1
יוסף נטיב כתב הלחין ושר ''אני היהלום'',יוסף נטיב,0,1
אביב אלוש בביצוע מרגש ''אני מאמין'' מתוך פרויקט 'צמאה',אביב אלוש,0,1
"דוד בארי בסינגל סוחף ומרגש, בהשתתפות נחמן צוקר ''אדון השמחה והחדוה''",דוד בארי,0,1
נריה אנג'ל פוצח בשיר מקורי לכבוד חודש אדר 'ליהודים',נריה אנג'ל,0,1
דודי קאליש ומקהלת נרננה – מחה תמחה לפורים,דודי קאליש,0,1
בנצי קלצקין ומוטי ויזל בחידוש מרגש ''מעוז צור'',בנצי קלצקין,0,1
משה פלד בסינגל חדש 'דווקא עכשיו',משה פלד,0,1
- אבי בן ישראל - ממלכת אביחצירא - מזרחי,אבי בן ישראל,1,3
ימים יותר טובים אבישי אשל ונהוראי בן שימול,אבישי אשל,3,4
אלעד שער ואיתי עמרן-יהי רצון 2011,אלעד שער,0,1
"אהרל'ה סמט, מוטי ויזל , דודי קאליש, משה דוד וייסמנדל & מקהלת נשמה ב''מזמור שיר - מחרוזת חנוכה''",אהרל'ה סמט,0,1
"אהרל'ה סמט, מוטי ויזל , דודי קאליש, משה דוד וייסמנדל & מקהלת נשמה ב''מזמור שיר - מחרוזת חנוכה''",מוטי ויזל,3,4
"אהרל'ה סמט, מוטי ויזל , דודי קאליש, משה דוד וייסמנדל & מקהלת נשמה ב''מזמור שיר - מחרוזת חנוכה''",דודי קאליש,6,7
"אהרל'ה סמט, מוטי ויזל , דודי קאליש, משה דוד וייסמנדל & מקהלת נשמה ב''מזמור שיר - מחרוזת חנוכה''",משה דוד וייסמנדל,9,11
09 - מחרוזת וולסים חסידיים - מונה רוזנבלום,מונה רוזנבלום,6,7
אלחי אזרד בסינגל חדש לקראת האלבום ''לאן אלך'',אלחי אזרד,0,1
אבי אילסון פותח את עונת החתונות כל המשמח חתן וכלה,אבי אילסון,0,1
קול חתן פייבל גרינבערג,פייבל גרינבערג,2,3
אהרון סיטבון שר בגעגועים לירושלים,אהרון סיטבון,0,1
יובל טייב-עם אחד 2010 [upo,יובל טייב,0,1
שרולי ברונכר מארח את דוד אשר – בזמן הזה,שרולי ברונכר,0,1
שרולי ברונכר מארח את דוד אשר – בזמן הזה,דוד אשר,4,5
"מנדי רוט, מקהלת נרננה, יענקי רובין - שלח אורך & מנורה",מקהלת נרננה,3,4
יהודה אריה ביאלוסטוצקי בביצוע לשיר אדון עולם של שמילי אונגר,שמילי אונגר,8,9
סיים מסכת עי צמד המוזיקאים משה מונה רוזנבלום ורולי דיקמן,מונה רוזנבלום,6,7
"אהר'לע סאמט, מענדי ווייס, מקהלת מלכות, חסידימלעך, הרשי סגל - לבוש מלכות",מקהלת מלכות,6,7
להקת מזמור שיר בביצוע מרגש לשיר נשמת בלחנו המיוחד של יהודה גרין,יהודה גרין,10,11
דוד גבאי בורא עולם,דוד גבאי,0,1
אליסף חפץ בסינגל חדש ומרגש לכבוד יו''ד שבט ''מתגברים'',אליסף חפץ,0,1
נעלה ונראה לוי פלקוביץ ויענקי דסקל ומענדי ווייס ובנצי קלצקין ושמוליק ויינריך ומקהלת מלכות,לוי פלקוביץ,2,3
יהודה שקד בקאבר ללהיט של יענקי דסקל ''ויהיו זרעי'',יענקי דסקל,5,6
שמילי אונגר בסינגל חדש כולנו,שמילי אונגר,0,1
רפאל בן מגיש ביצוע מרגש משלו לשיר 'כשושנה' של פריד,רפאל בן,0,1
שרולי גרין ב''סינגל'' חדש לקראת פורים,שרולי גרין,0,1
יניב בן משיח בסינגל חדש ''סימן קטן'',יניב בן משיח,0,2
יהונתן ניצן ומיכאל מרסה - 'רק התורה',יהונתן ניצן,0,1
"זאנוויל ויינברגר, מקהלת שירה, מונה רוזנבלום - בקולות וברקים",זאנוויל ויינברגר,0,1
"זאנוויל ויינברגר, מקהלת שירה, מונה רוזנבלום - בקולות וברקים",מקהלת שירה,3,4
"זאנוויל ויינברגר, מקהלת שירה, מונה רוזנבלום - בקולות וברקים",מונה רוזנבלום,6,7
בני פרידמן – לחישות הלב - דוגמה,בני פרידמן,0,1
צבי וייס & חננאל אוחנה ב“אדון הסליחות” ממזרח ומערב,צבי וייס,0,1
צבי וייס & חננאל אוחנה ב“אדון הסליחות” ממזרח ומערב,חננאל אוחנה,3,4
נהוראי אריאלי מגיש סינגל חדש ואנרגטי ''בית נאמן'',נהוראי אריאלי,0,1
11.בית בישראל - דדי גראוכר ושלומי גרטנר,דדי גראוכר,3,4
"שמחה ליינר, ברוך צ_ייט - מחרוזת צ_ייט",שמחה ליינר,0,1
