Column A,Column B,Start Position,End Position
& ארי היל - אבא (רמיקס - אהרון קופמן),ארי היל,1,2
& מקהלת ידידים - ישאלוני רעיוני,מקהלת ידידים,1,2
'ואילו' - משה פלד   מילים בתיאור - השיר הזוכה בתוכנית המלחינים 2,משה פלד,4,5
"'חסידישקייט' עם ישי ריבו, מוטי שטיינמץ, יעקב שוואקי",ישי ריבו,4,5
"'חסידישקייט' עם ישי ריבו, מוטי שטיינמץ, יעקב שוואקי",מוטי שטיינמץ,7,8
"'חסידישקייט' עם ישי ריבו, מוטי שטיינמץ, יעקב שוואקי",יעקב שוואקי,10,11
'לזמר ניגון' – עמירן דביר שר ר' נחמן מברסלב,עמירן דביר,5,6
'פרחי ירושלים' ליצירה של הלל פלאי ''אוחילה לאל'',פרחי ירושלים,1,2
'פרחי ירושלים' ליצירה של הלל פלאי ''אוחילה לאל'',הלל פלאי,6,7
", אהר'לע סאמט & מקהלת מלכות  אלו הם הצדיקים",מקהלת מלכות,4,5
", צבי זילברשטיין ו'שירה' בסינגל חדש - 'תבוא'",צבי זילברשטיין,1,2
- אבי אילסון - הלוואי - קאוור - מקורי,אבי אילסון,1,2
- אבי בן ישראל - ממלכת אביחצירא - מזרחי,אבי בן ישראל,1,3
- אבי מן ואבי מילר ומושמוש - קדושי מירון - חסידי,אבי מן,1,2
- אביתר בנאי - ונסלח -מקורי,אביתר בנאי,1,2
- אהרן רזאל וקובי גרינבוים - מי שאוהב - מקורי,אהרן רזאל,1,2
- אודי דמארי ומנדי גרופי - אני או אתה - מקורי,אודי דמארי,1,2
- אורי דוידי - Jump - אנגלית,אורי דוידי,1,2
- איציק אשל - אשיר לכבוד חברים - מזרחי,איציק אשל,1,2
- איציק דדיה - כיסא המלך - מזרחי,איציק דדיה,1,2
- איציק ויינגרטן - תרקדו - חסידי מקורי,איציק ויינגרטן,1,2
- איציק וינגרטן - התורה והשמחה - חסידי,איציק וינגרטן,1,2
- אלי הרצליך - מחדש את חי - מקורי,אלי הרצליך,1,2
- אלי מרכוס ובערל האניג - מי בן שיח - חסידי,אלי מרכוס,1,2
- אלי קליין - בואי בשלום - חסידי,אלי קליין,1,2
- ארי היל - דעבדין רעותך - חסידי,ארי היל,1,2
- ביני לנדאו - ביני לנדאו על כפיו יביא - אלטרנטיבי,ביני לנדאו,1,2
- ביני לנדאו - ביני לנדאו על כפיו יביא - אלטרנטיבי,ביני לנדאו,4,5
- בני פרידמן - 25000 נרות - אנגלית,בני פרידמן,1,2
- בני פרידמן - ניגון שמחה - פרוייקט צמאה - חסידי,בני פרידמן,1,2
- בני פרידמן ויוסף ניוקומב - מי כעמך ישראל - חסידי,בני פרידמן,1,2
- ברוך לוין - תורה ודעת - הרוב באנגלית,ברוך לוין,1,2
- ברוך שלום - קלי למה עזבתנו - חסידי,ברוך שלום,1,2
- בריו חקשור - רק בסייעתא דשמיא - מקורי,בריו חקשור,1,2
- ברק כהן - תפילתי - מזרחי,ברק כהן,1,2
- גד אלבז - אתה שלום - מזרחי,גד אלבז,1,2
- גיל ישראלוב - נעים לי מאוד - מזרחי,גיל ישראלוב,1,2
- דוד חפצדי - נופל וקם - מזרחי,דוד חפצדי,1,2
- דודי לינקר - אני מאמין - חסידי,דודי לינקר,1,2
- דודי קאליש ומוטי ויזל ויוסי פריד - מים בוכים - חסידי אידיש,דודי קאליש,1,2
- דודי קאליש מוטי קוביץ ומקהלת נשמה - יזכרם - חסידי,דודי קאליש,1,2
- הראל טל - אתה עמדי - מקורי,הראל טל,1,2
- ווקאלי - עובדיה חממה מארח מנין חברים - ארץ ישראל - מקורי,עובדיה חממה,3,4
- חיים ישראל וסגיב כהן - מרים את הראש - מזרחי,חיים ישראל,1,2
- יואלי גרינפלד ומוישי וולס - טאטע - חסידי,יואלי גרינפלד,1,2
- יובל טייב - מחרוזת הבדלה - מזרחי,יובל טייב,1,2
- יוני שלמה - בטח בהשם - חסידי,יוני שלמה,1,2
- יונתן רזאל - אקרא ליופי - מקורי (1),יונתן רזאל,1,2
- יוסי ברגר - אם על הלך טוב - חסידי,יוסי ברגר,1,2
- יעקב שוואקי - יבוא היום - מקורי (1),יעקב שוואקי,1,2
- יעקב שוואקי וליפא שמעלצר - סבא קדישא - חסידי,יעקב שוואקי,1,2
- יצחק מאיר וחברים - מחרוזת ימים נוראים - מקורי,יצחק מאיר,1,2
- מאיר אדלר ושמעון יואל זינגר - חסל סידור פסח - חסידי,מאיר אדלר,1,2
