מחרוזת,סיווג אמיתי,סיווג חזוי
-גולדוואג,ARTIST,ALBUM
01.נצח ישראל,ARTIST,SONG
01.קבלת פנים,ARTIST,SONG
03.אנחנו ניסים,ARTIST,SONG
03.אשרי חלקם,ARTIST,SONG
04.איל כהן,ARTIST,SONG
04סיאיז דאך,ARTIST,ALBUM
05.קבלת פנים,ARTIST,SONG
06.הזמן שלך,ARTIST,SONG
06.ניגון קארלין,ARTIST,SONG
06.פנה לעלבון,ARTIST,SONG
06שומר ישראל,ARTIST,ARTIST
07.נפשנו חכתה,ARTIST,SONG
08.ניגון שמחה,ARTIST,SONG
09חדש ששוני,ARTIST,RANDOM
10.גואיף אספניול,ARTIST,SONG
11.ויהו נועם,ARTIST,SONG
11ואני בחסדך,ARTIST,SONG
15רוח סתיו,ARTIST,ARTIST
16.חתונת דושינסקיא,ARTIST,ALBUM
16.עקיבא תורג מן,ARTIST,SONG
20.ניגון בויאן,ARTIST,SONG
21שמע ישראל,ARTIST,ARTIST
23ישראל ישראל,ARTIST,ARTIST
23קריץ מחומר,ARTIST,RANDOM
24חיים שתהא,ARTIST,RANDOM
27.גראמען דושינסקיא,ARTIST,SONG
2A200000 סימפוזיון,ARTIST,ALBUM
35.גראמען דושינסקיא,ARTIST,SONG
44אני מאמין,ARTIST,SONG
50אני מאמין,ARTIST,SONG
7.כה אמר,ARTIST,RANDOM
8A160100 עמרם,ARTIST,ARTIST
SOUND נועם,ARTIST,ARTIST
Z) זיגלבוים,ARTIST,ARTIST
_גנב,ARTIST,RANDOM
ad heinu,ARTIST,RANDOM
aka pella,ARTIST,ALBUM
guru josh,ARTIST,RANDOM
heneni heani,ARTIST,RANDOM
i. grave,ARTIST,RANDOM
just do it,ARTIST,ALBUM
ko keili,ARTIST,RANDOM
lavan garti,ARTIST,RANDOM
love you,ARTIST,ALBUM
ma nehedar,ARTIST,ALBUM
orech yumim,ARTIST,RANDOM
purim breslev,ARTIST,ALBUM
shma koleinu,ARTIST,RANDOM
ton pere,ARTIST,RANDOM
toras hashem,ARTIST,SONG
£ ¬,ARTIST,RANDOM
¬ ¬,ARTIST,RANDOM
¬ ס  נ,ARTIST,RANDOM
¬ ס ק,ARTIST,RANDOM
¬ פ ש,ARTIST,RANDOM
¬ ץ,ARTIST,RANDOM
¬ ק,ARTIST,RANDOM
¬ ק ש ש,ARTIST,RANDOM
¬ ש,ARTIST,RANDOM
îìê îìëé,ARTIST,RANDOM
אַיֶכָּה יצירת,ARTIST,ALBUM
אבא גבר,ARTIST,RANDOM
אבא שבשמיים,ARTIST,RANDOM
אבא שכזה,ARTIST,ALBUM
אבא שלום,ARTIST,SONG
אבדו גוים,ARTIST,ALBUM
אבדע פי מן,ARTIST,RANDOM
אבו מאזן,ARTIST,ARTIST
אבטח אבי,ARTIST,ARTIST
אבטח בך,ARTIST,SONG
אבי אבי,ARTIST,ARTIST
אבי אנא,ARTIST,SONG
אבי בוזגלו,ARTIST,ARTIST
אבי בללי,ARTIST,ARTIST
אבי ההחתן,ARTIST,ARTIST
אבי החתן,ARTIST,ARTIST
אבי הטוב,ARTIST,ARTIST
אבי השקף,ARTIST,ARTIST
אבי ומלכי,ARTIST,ARTIST
אבי יתומים,ARTIST,ARTIST
אבי לדודי,ARTIST,ARTIST
אבי מזרחי,ARTIST,ARTIST
אבי מלעבט,ARTIST,ARTIST
