Serial Number,Filename,Album,Singer,
1,#NAME?,סינגלים,שמחה פרידמן,
2,שמחה פרידמן ולייבלה ליפסקר בקאבר ''אין עוד מלבדו''.mp3,סינגלים,שמחה פרידמן,
3,#NAME?,סינגלים,שמחה פרידמן,
4,ה' ישמרך- שמחה פרידמן.mp3,סינגלים,שמחה פרידמן,
5,יברכך- שמחה פרידמן.mp3,סינגלים,שמחה פרידמן,
6,"סינגלים, שמחה פרידמן - לא לפחד.mp3",סינגלים,שמחה פרידמן,
7,שמחה פרידמן & ארי היל - מוכנים.mp3,סינגלים,שמחה פרידמן,
8,שמחה פרידמן & מושמוש - דאקשיצער ניגון.mp3,סינגלים,שמחה פרידמן,
9,שמחה פרידמן יתגדל ויתקדש.mp3,סינגלים,שמחה פרידמן,
10,"שמחה פרידמן, ארי היל - מוכנים.mp3",סינגלים,שמחה פרידמן,
11,שמחה פרידמן ומשפחתו - א סוכה'לע.mp3,סינגלים,שמחה פרידמן,
12,שמחה_פרידמן_-_דאווען_מיט_א_ניגון.mp3,סינגלים,שמחה פרידמן,
13,שמחה פרידמן- נשמה.mp3,סינגלים,שמחה פרידמן,
14,שמחה פרידמן -בקרוב.mp3,סינגלים,שמחה פרידמן,
15,שמחה פרידמן - יברכך.mp3,סינגלים,שמחה פרידמן,
16,קול-דודי-שמחה-פרידמן-ואלאור-ולנר..צילום-שניאור-שיף.mp3,סינגלים,שמחה פרידמן,
17,שמחה פרידמן - דאווען מיט א ניגון.mp3,סינגלים,שמחה פרידמן,
18,"ישי לפידות, משה קליין & שמחה פרידמן - יאללה להרים.mp3",סינגלים,שמחה פרידמן,
19,"08 הוא אלוקינו - שמחה פרידמן, שמיל.mp3",סינגלים,שמחה פרידמן,
20,04 ימין השם - שמחה פרידמן.mp3,סינגלים,שמחה פרידמן,
21,לא לפחד.mp3,סינגלים,שמחה פרידמן,
22,לא עוד רגע.mp3,סינגלים,שמחה פרידמן,
23,נשמה.mp3,סינגלים,שמחה פרידמן,
24,דאקשיצער ניגון.mp3,סינגלים,שמחה פרידמן,
25,חשוף.mp3,סינגלים,שמחה פרידמן,
26,בקרוב.mp3,סינגלים,שמחה פרידמן,
27,חתן כלה.mp3,סינגלים,שמחה פרידמן,
28,מחרוזת ניגוני חבד בקצב מזרחי.mp3,סינגלים,שמחה פרידמן,
29,ניגון הקהל.mp3,סינגלים,שמחה פרידמן,
30,13 מוישהלה.mp3,לבדך,שמחה פרידמן,
31,14 לספר ביציאת מצרים.mp3,לבדך,שמחה פרידמן,
32,15 ניגון מדוקשיץ.mp3,לבדך,שמחה פרידמן,
33,11 הרשי הראשון.mp3,לבדך,שמחה פרידמן,
34,12 דאווען מיט א ניגון.mp3,לבדך,שמחה פרידמן,
35,10 חתן כלה.mp3,לבדך,שמחה פרידמן,
36,09 יברכך.mp3,לבדך,שמחה פרידמן,
37,08 לא לפחד.mp3,לבדך,שמחה פרידמן,
38,07 לבדך.mp3,לבדך,שמחה פרידמן,
39,06 השם ישמרך.mp3,לבדך,שמחה פרידמן,
40,04 עוד יבוא היום.mp3,לבדך,שמחה פרידמן,
41,05 עבור מישהו אחר.mp3,לבדך,שמחה פרידמן,
42,03 לא עוד רגע.mp3,לבדך,שמחה פרידמן,
43,02 נשמה.mp3,לבדך,שמחה פרידמן,
44,01 בקרוב (יתגדל).mp3,לבדך,שמחה פרידמן,
45,בפי ישרים.mp3,סינגלים,איתן כץ,
46,סומך נופלים.mp3,סינגלים,איתן כץ,
47,כי קרוב.mp3,סינגלים,איתן כץ,
48,יערב נא.mp3,סינגלים,איתן כץ,
49,מרגש איתן כץ בשיר וסיפור – כי לעולם חסדו .mp3,סינגלים,איתן כץ,
50,#NAME?,סינגלים,איתן כץ,
51,#NAME?,סינגלים,איתן כץ,
52,איתן כץ - קחו עמכם.mp3,סינגלים,איתן כץ,
53,10-ניגון.mp3,למענך,איתן כץ,
54,09-אדון עולם.mp3,למענך,איתן כץ,
55,AlbumArtSmall.jpg,למענך,איתן כץ,
56,Folder.jpg,למענך,איתן כץ,
57,08-יום שבתון.mp3,למענך,איתן כץ,
58,06-אשת חיל.mp3,למענך,איתן כץ,
59,07-גם כי אלך.mp3,למענך,איתן כץ,
60,05-קומי רני.mp3,למענך,איתן כץ,
61,03-כל עצמותי.mp3,למענך,איתן כץ,
62,04-קול ברמה.mp3,למענך,איתן כץ,
63,02-למענך.mp3,למענך,איתן כץ,
64,01-מזמור שיר.mp3,למענך,איתן כץ,
